
89:	learn: 0.4914230	total: 3m 3s	remaining: 2h 46m 49s
90:	learn: 0.4899927	total: 3m 5s	remaining: 2h 46m 48s
91:	learn: 0.4883153	total: 3m 7s	remaining: 2h 46m 45s
92:	learn: 0.4870383	total: 3m 9s	remaining: 2h 46m 44s
93:	learn: 0.4857211	total: 3m 11s	remaining: 2h 46m 44s
94:	learn: 0.4842783	total: 3m 13s	remaining: 2h 46m 38s
95:	learn: 0.4828301	total: 3m 15s	remaining: 2h 46m 36s
96:	learn: 0.4818971	total: 3m 17s	remaining: 2h 46m 34s
97:	learn: 0.4805110	total: 3m 19s	remaining: 2h 46m 33s
98:	learn: 0.4794115	total: 3m 21s	remaining: 2h 46m 30s
99:	learn: 0.4779581	total: 3m 23s	remaining: 2h 46m 27s
100:	learn: 0.4770524	total: 3m 25s	remaining: 2h 46m 25s
101:	learn: 0.4754221	total: 3m 27s	remaining: 2h 46m 19s
102:	learn: 0.4743138	total: 3m 29s	remaining: 2h 46m 20s
103:	learn: 0.4732965	total: 3m 31s	remaining: 2h 46m 17s
104:	learn: 0.4723482	total: 3m 33s	remaining: 2h 46m 14s
105:	learn: 0.4710977	total: 3m 35s	remaining: 2h 46m 12s
106:	learn: 0.4703718	total: 3m 38s	remaining: 2h 46m 9s
107:	learn: 0.4688210	total: 3m 40s	remaining: 2h 46m 7s
108:	learn: 0.4677602	total: 3m 42s	remaining: 2h 46m 6s
109:	learn: 0.4662697	total: 3m 44s	remaining: 2h 46m 2s
110:	learn: 0.4654549	total: 3m 46s	remaining: 2h 45m 59s
111:	learn: 0.4645651	total: 3m 48s	remaining: 2h 45m 59s
112:	learn: 0.4630733	total: 3m 50s	remaining: 2h 45m 55s
113:	learn: 0.4620131	total: 3m 52s	remaining: 2h 45m 49s
114:	learn: 0.4613038	total: 3m 54s	remaining: 2h 45m 47s
115:	learn: 0.4600627	total: 3m 56s	remaining: 2h 45m 46s
116:	learn: 0.4585718	total: 3m 58s	remaining: 2h 45m 44s
117:	learn: 0.4577341	total: 4m	remaining: 2h 45m 46s
118:	learn: 0.4567895	total: 4m 2s	remaining: 2h 45m 49s
119:	learn: 0.4558070	total: 4m 4s	remaining: 2h 45m 50s
120:	learn: 0.4551703	total: 4m 6s	remaining: 2h 45m 50s
121:	learn: 0.4542968	total: 4m 8s	remaining: 2h 45m 49s
122:	learn: 0.4528718	total: 4m 10s	remaining: 2h 45m 44s
123:	learn: 0.4521231	total: 4m 15s	remaining: 2h 47m 34s
124:	learn: 0.4513513	total: 4m 18s	remaining: 2h 48m 1s
125:	learn: 0.4505257	total: 4m 20s	remaining: 2h 48m
126:	learn: 0.4499128	total: 4m 23s	remaining: 2h 48m 15s
127:	learn: 0.4486599	total: 4m 25s	remaining: 2h 48m 32s
128:	learn: 0.4478868	total: 4m 28s	remaining: 2h 48m 43s
129:	learn: 0.4474098	total: 4m 30s	remaining: 2h 48m 44s
130:	learn: 0.4463162	total: 4m 32s	remaining: 2h 48m 51s
131:	learn: 0.4455259	total: 4m 34s	remaining: 2h 48m 49s
132:	learn: 0.4449632	total: 4m 36s	remaining: 2h 48m 51s
133:	learn: 0.4432539	total: 4m 39s	remaining: 2h 48m 56s
134:	learn: 0.4423448	total: 4m 41s	remaining: 2h 48m 58s
135:	learn: 0.4417252	total: 4m 43s	remaining: 2h 48m 56s
136:	learn: 0.4403460	total: 4m 45s	remaining: 2h 48m 51s
137:	learn: 0.4391115	total: 4m 47s	remaining: 2h 48m 46s
138:	learn: 0.4383179	total: 4m 49s	remaining: 2h 48m 46s
139:	learn: 0.4373140	total: 4m 51s	remaining: 2h 48m 42s
140:	learn: 0.4366651	total: 4m 53s	remaining: 2h 48m 36s
141:	learn: 0.4359524	total: 4m 55s	remaining: 2h 48m 32s
142:	learn: 0.4350178	total: 4m 57s	remaining: 2h 48m 28s
143:	learn: 0.4346190	total: 4m 59s	remaining: 2h 48m 20s
144:	learn: 0.4337846	total: 5m 1s	remaining: 2h 48m 18s
145:	learn: 0.4331860	total: 5m 3s	remaining: 2h 48m 17s
146:	learn: 0.4324947	total: 5m 5s	remaining: 2h 48m 11s
147:	learn: 0.4318807	total: 5m 7s	remaining: 2h 48m 8s
148:	learn: 0.4311919	total: 5m 9s	remaining: 2h 48m 4s
149:	learn: 0.4302272	total: 5m 11s	remaining: 2h 48m
150:	learn: 0.4294899	total: 5m 13s	remaining: 2h 47m 56s
151:	learn: 0.4284840	total: 5m 15s	remaining: 2h 47m 53s
152:	learn: 0.4279936	total: 5m 17s	remaining: 2h 47m 49s
153:	learn: 0.4270901	total: 5m 19s	remaining: 2h 47m 45s
154:	learn: 0.4261983	total: 5m 21s	remaining: 2h 47m 42s
155:	learn: 0.4255318	total: 5m 23s	remaining: 2h 47m 39s
156:	learn: 0.4249001	total: 5m 26s	remaining: 2h 47m 36s
157:	learn: 0.4237007	total: 5m 28s	remaining: 2h 47m 34s
158:	learn: 0.4229212	total: 5m 30s	remaining: 2h 47m 27s
159:	learn: 0.4223770	total: 5m 32s	remaining: 2h 47m 24s
160:	learn: 0.4215506	total: 5m 34s	remaining: 2h 47m 19s
161:	learn: 0.4203287	total: 5m 36s	remaining: 2h 47m 15s
162:	learn: 0.4197271	total: 5m 38s	remaining: 2h 47m 10s
163:	learn: 0.4190415	total: 5m 40s	remaining: 2h 47m 7s
164:	learn: 0.4182490	total: 5m 42s	remaining: 2h 47m 4s
165:	learn: 0.4176518	total: 5m 44s	remaining: 2h 47m
166:	learn: 0.4169737	total: 5m 46s	remaining: 2h 46m 56s
167:	learn: 0.4162535	total: 5m 48s	remaining: 2h 46m 51s
168:	learn: 0.4155748	total: 5m 50s	remaining: 2h 46m 46s
169:	learn: 0.4146450	total: 5m 52s	remaining: 2h 46m 42s
170:	learn: 0.4135488	total: 5m 54s	remaining: 2h 46m 37s
171:	learn: 0.4130952	total: 5m 56s	remaining: 2h 46m 34s
172:	learn: 0.4126846	total: 5m 58s	remaining: 2h 46m 30s
173:	learn: 0.4122034	total: 5m 59s	remaining: 2h 46m 21s
174:	learn: 0.4115181	total: 6m 1s	remaining: 2h 46m 15s
175:	learn: 0.4108645	total: 6m 3s	remaining: 2h 46m 9s
176:	learn: 0.4102570	total: 6m 5s	remaining: 2h 46m 1s
177:	learn: 0.4095500	total: 6m 7s	remaining: 2h 45m 55s
