iter	Passed	Remaining
419	3094	4273
420	3101	4264
421	3108	4257
422	3115	4249
423	3123	4243
424	3129	4234
425	3135	4224
426	3144	4220
427	3150	4210
428	3160	4206
429	3166	4198
430	3177	4194
431	3188	4191
432	3196	4185
433	3203	4178
434	3210	4169
435	3216	4161
436	3226	4156
437	3232	4147
438	3239	4140
439	3246	4132
440	3255	4127
441	3262	4118
442	3271	4112
443	3280	4108
444	3292	4106
445	3301	4101
446	3307	4092
447	3312	4081
448	3320	4074
449	3329	4068
450	3339	4065
451	3345	4056
452	3353	4048
453	3363	4044
454	3371	4038
455	3376	4028
456	3383	4019
457	3391	4013
458	3397	4004
459	3404	3997
460	3410	3987
461	3418	3981
462	3425	3973
463	3432	3965
464	3439	3957
465	3446	3948
466	3454	3942
467	3458	3931
468	3467	3925
469	3474	3918
470	3482	3911
471	3489	3903
472	3497	3896
473	3504	3889
474	3511	3880
475	3518	3873
476	3524	3864
477	3530	3855
478	3537	3848
479	3543	3838
480	3550	3831
481	3555	3821
482	3560	3811
483	3567	3803
484	3574	3795
485	3582	3788
486	3588	3780
487	3594	3771
488	3601	3763
489	3606	3753
490	3613	3745
491	3619	3736
492	3624	3727
493	3632	3720
494	3637	3710
495	3643	3702
496	3650	3694
497	3656	3686
498	3663	3678
499	3669	3669
500	3676	3661
501	3683	3654
502	3691	3647
503	3701	3642
504	3710	3637
505	3718	3630
506	3725	3623
507	3733	3615
508	3739	3607
509	3747	3601
510	3755	3593
511	3763	3586
512	3768	3577
513	3778	3572
514	3784	3563
515	3794	3559
516	3800	3550
517	3807	3542
518	3815	3536
519	3821	3527
520	3828	3519
521	3834	3511
522	3842	3504
523	3848	3495
524	3853	3486
525	3861	3480
526	3867	3471
527	3874	3463
528	3879	3454
529	3885	3445
530	3894	3439
531	3901	3431
532	3910	3426
533	3916	3417
534	3923	3410
535	3928	3401
536	3934	3392
537	3943	3386
538	3948	3376
539	3953	3368
540	3958	3358
541	3964	3349
542	3970	3341
543	3975	3332
544	3980	3322
545	3986	3314
546	3993	3307
547	3999	3298
548	4007	3292
549	4013	3283
550	4019	3275
551	4024	3266
552	4029	3257
553	4036	3249
554	4042	3240
555	4046	3231
556	4053	3223
557	4058	3215
558	4065	3206
559	4073	3200
560	4078	3191
561	4084	3183
562	4091	3175
563	4096	3166
564	4102	3158
565	4108	3150
566	4113	3141
567	4120	3133
568	4128	3127
569	4137	3121
570	4145	3114
571	4154	3108
572	4163	3102
573	4172	3096
574	4181	3090
575	4190	3084
576	4198	3078
577	4207	3071
578	4215	3065
579	4224	3058
580	4232	3052
581	4240	3045
582	4248	3038
583	4258	3033
584	4266	3026
585	4274	3020
586	4283	3013
587	4292	3007
588	4301	3001
589	4310	2995
590	4320	2989
591	4327	2982
592	4336	2976
593	4344	2969
594	4353	2963
595	4360	2956
596	4368	2948
597	4375	2941
598	4384	2935
599	4392	2928
600	4400	2921
601	4410	2915
602	4418	2908
603	4427	2902
604	4437	2897
605	4447	2891
606	4455	2884
607	4462	2877
608	4471	2870
609	4479	2864
610	4486	2856
611	4495	2850
612	4504	2843
613	4512	2836
614	4518	2828
615	4527	2822
616	4536	2815
617	4544	2809
618	4552	2801
619	4560	2795
620	4568	2788
621	4577	2781
622	4584	2774
623	4593	2767
624	4600	2760
625	4608	2753
626	4616	2746
627	4626	2740
628	4634	2733
629	4643	2726
630	4650	2719
631	4659	2713
632	4666	2705
633	4675	2699
634	4683	2692
635	4693	2685
636	4701	2679
637	4710	2672
638	4719	2666
639	4727	2659
640	4734	2651
641	4742	2644
642	4749	2637
643	4758	2630
644	4766	2623
645	4775	2616
646	4783	2609
647	4793	2603
648	4803	2598
649	4813	2592
650	4824	2586
651	4832	2579
652	4844	2574
653	4854	2568
654	4862	2560
655	4870	2554
656	4880	2547
657	4888	2540
658	4896	2533
659	4905	2526
660	4914	2520
661	4923	2513
662	4933	2507
663	4943	2501
664	4952	2494
665	4960	2487
666	4969	2480
667	4977	2473
668	4986	2467
669	4994	2459
670	5003	2453
671	5011	2445
672	5019	2438
673	5027	2431
674	5037	2425
675	5044	2417
676	5053	2411
677	5061	2404
678	5071	2397
679	5079	2390
680	5086	2382
681	5094	2375
682	5103	2368
683	5110	2360
684	5118	2353
685	5126	2346
686	5136	2340
687	5142	2332
688	5151	2325
689	5159	2317
690	5167	2310
691	5175	2303
692	5183	2296
693	5191	2288
694	5200	2282
695	5207	2274
696	5217	2268
697	5226	2261
698	5234	2253
699	5243	2247
700	5252	2240
701	5261	2233
702	5268	2225
703	5276	2218
704	5284	2211
705	5293	2204
706	5301	2197
707	5309	2189
708	5318	2182
709	5327	2175
710	5334	2168
711	5342	2161
712	5350	2153
713	5358	2146
714	5366	2139
715	5375	2132
716	5385	2125
717	5394	2118
718	5401	2111
719	5410	2103
720	5417	2096
721	5425	2088
722	5433	2081
723	5440	2074
724	5448	2066
725	5457	2059
726	5467	2053
727	5475	2045
728	5484	2038
729	5492	2031
730	5499	2023
731	5508	2016
732	5516	2009
733	5524	2002
734	5532	1994
735	5543	1988
736	5550	1980
737	5561	1974
738	5570	1967
739	5578	1959
740	5586	1952
741	5596	1945
742	5604	1938
743	5612	1931
744	5621	1924
745	5628	1916
746	5636	1909
747	5644	1901
748	5653	1894
749	5661	1887
750	5669	1879
751	5678	1872
752	5687	1865
753	5695	1858
754	5706	1851
755	5714	1844
756	5724	1837
757	5732	1830
758	5741	1823
759	5752	1816
760	5762	1809
761	5772	1802
762	5780	1795
763	5788	1787
764	5797	1780
765	5806	1773
766	5815	1766
767	5823	1759
768	5831	1751
769	5840	1744
770	5849	1737
771	5857	1729
772	5866	1722
773	5876	1715
774	5886	1708
775	5893	1701
776	5902	1693
777	5910	1686
778	5919	1679
779	5927	1671
780	5936	1664
781	5945	1657
782	5953	1649
783	5961	1642
784	5968	1634
785	5976	1627
786	5985	1619
787	5993	1612
788	6001	1605
789	6010	1597
790	6017	1589
791	6025	1582
792	6034	1575
793	6043	1567
794	6052	1560
795	6060	1553
796	6067	1545
797	6075	1538
798	6083	1530
799	6092	1523
800	6100	1515
801	6109	1508
802	6117	1500
803	6125	1493
804	6133	1485
805	6143	1478
806	6152	1471
807	6162	1464
808	6169	1456
809	6177	1449
810	6185	1441
811	6194	1434
812	6202	1426
813	6210	1419
814	6217	1411
815	6228	1404
816	6237	1397
817	6245	1389
818	6253	1382
819	6263	1374
820	6272	1367
821	6279	1359
822	6288	1352
823	6298	1345
824	6307	1337
825	6315	1330
826	6324	1322
827	6332	1315
828	6340	1307
829	6348	1300
830	6357	1292
831	6364	1285
832	6374	1277
833	6382	1270
834	6392	1263
835	6399	1255
836	6410	1248
837	6417	1240
838	6425	1233
839	6433	1225
840	6441	1217
841	6450	1210
842	6459	1202
843	6467	1195
844	6475	1187
845	6482	1180
846	6492	1172
847	6500	1165
848	6507	1157
849	6515	1149
850	6523	1142
851	6531	1134
852	6539	1127
853	6548	1119
854	6557	1112
855	6566	1104
856	6574	1097
857	6583	1089
858	6592	1082
859	6602	1074
860	6609	1067
861	6619	1059
862	6627	1052
863	6636	1044
864	6644	1036
865	6652	1029
866	6659	1021
867	6667	1013
868	6674	1006
869	6682	998
870	6690	990
871	6700	983
872	6709	975
873	6717	968
874	6724	960
875	6733	953
876	6741	945
877	6750	938
878	6759	930
879	6766	922
880	6773	914
881	6782	907
882	6790	899
883	6800	892
884	6808	884
885	6817	877
886	6825	869
887	6834	862
888	6842	854
889	6850	846
890	6861	839
891	6869	831
892	6877	824
893	6887	816
894	6896	809
895	6903	801
896	6915	794
897	6926	786
898	6934	779
899	6942	771
900	6952	763
901	6961	756
902	6969	748
903	6977	741
904	6986	733
905	6996	725
906	7007	718
907	7018	711
908	7027	703
909	7035	695
910	7043	688
911	7052	680
912	7061	672
913	7070	665
914	7079	657
915	7088	650
916	7096	642
917	7105	634
918	7113	627
919	7122	619
920	7129	611
921	7138	603
922	7146	596
923	7154	588
924	7162	580
925	7170	573
926	7178	565
927	7187	557
928	7194	549
929	7203	542
930	7210	534
931	7218	526
932	7226	518
933	7234	511
934	7242	503
935	7250	495
936	7258	488
937	7267	480
938	7276	472
939	7284	464
940	7291	457
941	7298	449
942	7307	441
943	7314	433
944	7323	426
945	7332	418
946	7340	410
947	7350	403
948	7358	395
949	7366	387
950	7373	379
951	7382	372
952	7390	364
953	7398	356
954	7408	349
955	7417	341
956	7426	333
957	7433	325
958	7442	318
959	7451	310
960	7459	302
961	7468	295
962	7476	287
963	7483	279
964	7490	271
965	7498	263
966	7505	256
967	7513	248
968	7521	240
969	7530	232
970	7539	225
971	7548	217
972	7557	209
973	7566	201
974	7574	194
975	7583	186
976	7591	178
977	7600	170
978	7607	163
979	7616	155
980	7625	147
981	7636	139
982	7645	132
983	7653	124
984	7661	116
985	7669	108
986	7677	101
987	7685	93
988	7694	85
989	7702	77
990	7710	70
991	7718	62
992	7726	54
993	7736	46
994	7745	38
995	7753	31
996	7762	23
997	7774	15
998	7782	7
999	7790	0
