105:	learn: 0.8170920	total: 1.43s	remaining: 25.6s
106:	learn: 0.8162783	total: 1.45s	remaining: 25.6s
107:	learn: 0.8153042	total: 1.46s	remaining: 25.5s
108:	learn: 0.8143793	total: 1.47s	remaining: 25.5s
109:	learn: 0.8133468	total: 1.48s	remaining: 25.5s
110:	learn: 0.8123124	total: 1.5s	remaining: 25.5s
111:	learn: 0.8112816	total: 1.51s	remaining: 25.5s
112:	learn: 0.8105286	total: 1.53s	remaining: 25.5s
113:	learn: 0.8097708	total: 1.54s	remaining: 25.5s
114:	learn: 0.8087814	total: 1.55s	remaining: 25.5s
115:	learn: 0.8080054	total: 1.57s	remaining: 25.5s
116:	learn: 0.8070265	total: 1.58s	remaining: 25.5s
117:	learn: 0.8061792	total: 1.6s	remaining: 25.5s
118:	learn: 0.8053256	total: 1.61s	remaining: 25.5s
119:	learn: 0.8043975	total: 1.62s	remaining: 25.4s
120:	learn: 0.8034254	total: 1.64s	remaining: 25.4s
121:	learn: 0.8024724	total: 1.65s	remaining: 25.4s
122:	learn: 0.8015484	total: 1.66s	remaining: 25.4s
123:	learn: 0.8007775	total: 1.68s	remaining: 25.4s
124:	learn: 0.7998451	total: 1.69s	remaining: 25.4s
125:	learn: 0.7989109	total: 1.7s	remaining: 25.3s
126:	learn: 0.7982208	total: 1.72s	remaining: 25.3s
127:	learn: 0.7975429	total: 1.73s	remaining: 25.3s
128:	learn: 0.7966435	total: 1.74s	remaining: 25.2s
129:	learn: 0.7956340	total: 1.75s	remaining: 25.2s
130:	learn: 0.7950307	total: 1.77s	remaining: 25.2s
131:	learn: 0.7940743	total: 1.78s	remaining: 25.2s
132:	learn: 0.7932058	total: 1.79s	remaining: 25.2s
133:	learn: 0.7925336	total: 1.81s	remaining: 25.2s
134:	learn: 0.7916226	total: 1.82s	remaining: 25.1s
135:	learn: 0.7908892	total: 1.83s	remaining: 25.1s
136:	learn: 0.7900981	total: 1.85s	remaining: 25.1s
137:	learn: 0.7894003	total: 1.86s	remaining: 25.1s
138:	learn: 0.7885393	total: 1.88s	remaining: 25.1s
139:	learn: 0.7878993	total: 1.89s	remaining: 25.1s
140:	learn: 0.7870186	total: 1.91s	remaining: 25.1s
141:	learn: 0.7861784	total: 1.92s	remaining: 25.1s
142:	learn: 0.7854756	total: 1.94s	remaining: 25.2s
143:	learn: 0.7846977	total: 1.95s	remaining: 25.2s
