105:	learn: 0.6147594	total: 1.8s	remaining: 32.1s
106:	learn: 0.6142679	total: 1.81s	remaining: 32.1s
107:	learn: 0.6137823	total: 1.83s	remaining: 32.1s
108:	learn: 0.6133047	total: 1.85s	remaining: 32.1s
109:	learn: 0.6126916	total: 1.87s	remaining: 32.1s
110:	learn: 0.6120508	total: 1.89s	remaining: 32.1s
111:	learn: 0.6115931	total: 1.92s	remaining: 32.4s
112:	learn: 0.6108017	total: 1.94s	remaining: 32.3s
113:	learn: 0.6098722	total: 1.95s	remaining: 32.3s
114:	learn: 0.6093195	total: 1.97s	remaining: 32.3s
115:	learn: 0.6089454	total: 1.99s	remaining: 32.2s
116:	learn: 0.6082598	total: 2s	remaining: 32.2s
117:	learn: 0.6073066	total: 2.02s	remaining: 32.2s
118:	learn: 0.6062746	total: 2.03s	remaining: 32.2s
119:	learn: 0.6052927	total: 2.05s	remaining: 32.1s
120:	learn: 0.6045901	total: 2.07s	remaining: 32.2s
121:	learn: 0.6042668	total: 2.09s	remaining: 32.1s
122:	learn: 0.6039001	total: 2.1s	remaining: 32.1s
123:	learn: 0.6034971	total: 2.12s	remaining: 32.1s
124:	learn: 0.6030111	total: 2.14s	remaining: 32.1s
125:	learn: 0.6021725	total: 2.15s	remaining: 32s
126:	learn: 0.6015276	total: 2.17s	remaining: 32s
127:	learn: 0.6006349	total: 2.19s	remaining: 32s
128:	learn: 0.6002804	total: 2.21s	remaining: 32s
129:	learn: 0.5987898	total: 2.22s	remaining: 31.9s
130:	learn: 0.5982621	total: 2.23s	remaining: 31.9s
131:	learn: 0.5979957	total: 2.25s	remaining: 31.8s
132:	learn: 0.5972853	total: 2.27s	remaining: 31.8s
133:	learn: 0.5965735	total: 2.28s	remaining: 31.8s
134:	learn: 0.5956953	total: 2.3s	remaining: 31.8s
135:	learn: 0.5953056	total: 2.31s	remaining: 31.7s
136:	learn: 0.5949438	total: 2.33s	remaining: 31.7s
137:	learn: 0.5944893	total: 2.35s	remaining: 31.6s
138:	learn: 0.5942391	total: 2.36s	remaining: 31.6s
139:	learn: 0.5939548	total: 2.38s	remaining: 31.6s
140:	learn: 0.5928933	total: 2.39s	remaining: 31.6s
141:	learn: 0.5924336	total: 2.41s	remaining: 31.5s
142:	learn: 0.5912426	total: 2.42s	remaining: 31.5s
143:	learn: 0.5904571	total: 2.44s	remaining: 31.5s
144:	learn: 0.5898779	total: 2.46s	remaining: 31.4s
145:	learn: 0.5895480	total: 2.49s	remaining: 31.6s
146:	learn: 0.5891225	total: 2.5s	remaining: 31.5s
147:	learn: 0.5882802	total: 2.51s	remaining: 31.5s
148:	learn: 0.5879293	total: 2.54s	remaining: 31.6s
149:	learn: 0.5873663	total: 2.56s	remaining: 31.5s
150:	learn: 0.5869494	total: 2.57s	remaining: 31.5s
151:	learn: 0.5863281	total: 2.59s	remaining: 31.4s
152:	learn: 0.5858949	total: 2.6s	remaining: 31.4s
153:	learn: 0.5856583	total: 2.61s	remaining: 31.3s
154:	learn: 0.5852864	total: 2.63s	remaining: 31.3s
155:	learn: 0.5847490	total: 2.64s	remaining: 31.2s
156:	learn: 0.5842383	total: 2.65s	remaining: 31.2s
157:	learn: 0.5837982	total: 2.67s	remaining: 31.1s
158:	learn: 0.5834177	total: 2.68s	remaining: 31.1s
159:	learn: 0.5830804	total: 2.7s	remaining: 31s
160:	learn: 0.5825025	total: 2.71s	remaining: 31s
161:	learn: 0.5820849	total: 2.73s	remaining: 30.9s
162:	learn: 0.5814396	total: 2.74s	remaining: 30.9s
163:	learn: 0.5810117	total: 2.76s	remaining: 30.9s
164:	learn: 0.5805788	total: 2.77s	remaining: 30.8s
165:	learn: 0.5800191	total: 2.79s	remaining: 30.8s
166:	learn: 0.5793940	total: 2.8s	remaining: 30.8s
167:	learn: 0.5790054	total: 2.82s	remaining: 30.7s
168:	learn: 0.5785934	total: 2.83s	remaining: 30.7s
169:	learn: 0.5783082	total: 2.84s	remaining: 30.6s
170:	learn: 0.5779078	total: 2.86s	remaining: 30.6s
171:	learn: 0.5776514	total: 2.87s	remaining: 30.5s
172:	learn: 0.5771770	total: 2.89s	remaining: 30.5s
173:	learn: 0.5768240	total: 2.9s	remaining: 30.5s
174:	learn: 0.5765918	total: 2.92s	remaining: 30.5s
175:	learn: 0.5762287	total: 2.93s	remaining: 30.4s
176:	learn: 0.5758663	total: 2.95s	remaining: 30.4s
177:	learn: 0.5754218	total: 2.96s	remaining: 30.3s
178:	learn: 0.5750491	total: 2.98s	remaining: 30.3s
179:	learn: 0.5745825	total: 2.99s	remaining: 30.2s
180:	learn: 0.5740102	total: 3s	remaining: 30.2s
181:	learn: 0.5735375	total: 3.02s	remaining: 30.2s
182:	learn: 0.5731619	total: 3.03s	remaining: 30.1s
183:	learn: 0.5729036	total: 3.05s	remaining: 30.1s
184:	learn: 0.5724986	total: 3.06s	remaining: 30s
185:	learn: 0.5720439	total: 3.07s	remaining: 30s
186:	learn: 0.5716521	total: 3.09s	remaining: 30s
187:	learn: 0.5712621	total: 3.1s	remaining: 29.9s
188:	learn: 0.5706925	total: 3.12s	remaining: 29.9s
189:	learn: 0.5702386	total: 3.13s	remaining: 29.8s
190:	learn: 0.5697613	total: 3.15s	remaining: 29.8s
191:	learn: 0.5693597	total: 3.16s	remaining: 29.8s
192:	learn: 0.5688293	total: 3.18s	remaining: 29.7s
193:	learn: 0.5684743	total: 3.19s	remaining: 29.7s
194:	learn: 0.5681759	total: 3.2s	remaining: 29.7s
195:	learn: 0.5670289	total: 3.22s	remaining: 29.6s
196:	learn: 0.5667281	total: 3.23s	remaining: 29.6s
197:	learn: 0.5662903	total: 3.24s	remaining: 29.5s
198:	learn: 0.5661461	total: 3.26s	remaining: 29.5s
199:	learn: 0.5658567	total: 3.27s	remaining: 29.4s
200:	learn: 0.5658102	total: 3.29s	remaining: 29.4s
201:	learn: 0.5655577	total: 3.3s	remaining: 29.4s
202:	learn: 0.5654947	total: 3.31s	remaining: 29.3s
203:	learn: 0.5654484	total: 3.33s	remaining: 29.3s
204:	learn: 0.5650320	total: 3.34s	remaining: 29.3s
205:	learn: 0.5646812	total: 3.36s	remaining: 29.3s
206:	learn: 0.5643732	total: 3.37s	remaining: 29.2s
207:	learn: 0.5636715	total: 3.39s	remaining: 29.2s
208:	learn: 0.5633548	total: 3.4s	remaining: 29.1s
209:	learn: 0.5628280	total: 3.42s	remaining: 29.1s
210:	learn: 0.5626801	total: 3.43s	remaining: 29.1s
211:	learn: 0.5623036	total: 3.44s	remaining: 29s
212:	learn: 0.5621909	total: 3.46s	remaining: 29s
213:	learn: 0.5618094	total: 3.47s	remaining: 29s
214:	learn: 0.5614375	total: 3.49s	remaining: 29s
215:	learn: 0.5610764	total: 3.5s	remaining: 28.9s
216:	learn: 0.5607846	total: 3.52s	remaining: 28.9s
217:	learn: 0.5595999	total: 3.53s	remaining: 28.9s
218:	learn: 0.5591796	total: 3.54s	remaining: 28.8s
219:	learn: 0.5590900	total: 3.56s	remaining: 28.8s
220:	learn: 0.5587487	total: 3.57s	remaining: 28.8s
221:	learn: 0.5583966	total: 3.59s	remaining: 28.7s
222:	learn: 0.5580999	total: 3.6s	remaining: 28.7s
223:	learn: 0.5579014	total: 3.62s	remaining: 28.7s
224:	learn: 0.5575752	total: 3.63s	remaining: 28.7s
225:	learn: 0.5573305	total: 3.65s	remaining: 28.7s
226:	learn: 0.5569180	total: 3.67s	remaining: 28.6s
227:	learn: 0.5565390	total: 3.68s	remaining: 28.6s
228:	learn: 0.5563678	total: 3.7s	remaining: 28.6s
229:	learn: 0.5558129	total: 3.71s	remaining: 28.6s
230:	learn: 0.5554962	total: 3.73s	remaining: 28.6s
231:	learn: 0.5552117	total: 3.75s	remaining: 28.5s
232:	learn: 0.5549919	total: 3.76s	remaining: 28.5s
233:	learn: 0.5547499	total: 3.78s	remaining: 28.5s
234:	learn: 0.5543250	total: 3.79s	remaining: 28.5s
235:	learn: 0.5541269	total: 3.81s	remaining: 28.4s
236:	learn: 0.5535153	total: 3.82s	remaining: 28.4s
237:	learn: 0.5531267	total: 3.83s	remaining: 28.4s
238:	learn: 0.5529274	total: 3.85s	remaining: 28.4s
239:	learn: 0.5526214	total: 3.87s	remaining: 28.3s
240:	learn: 0.5522538	total: 3.88s	remaining: 28.3s
241:	learn: 0.5521647	total: 3.9s	remaining: 28.3s
242:	learn: 0.5518772	total: 3.91s	remaining: 28.3s
243:	learn: 0.5518396	total: 3.93s	remaining: 28.3s
244:	learn: 0.5517538	total: 3.94s	remaining: 28.2s
245:	learn: 0.5508714	total: 3.96s	remaining: 28.2s
246:	learn: 0.5502025	total: 3.97s	remaining: 28.2s
247:	learn: 0.5498707	total: 3.99s	remaining: 28.2s
248:	learn: 0.5496227	total: 4.01s	remaining: 28.2s
249:	learn: 0.5493580	total: 4.02s	remaining: 28.2s
250:	learn: 0.5492703	total: 4.04s	remaining: 28.1s
251:	learn: 0.5488164	total: 4.05s	remaining: 28.1s
252:	learn: 0.5485651	total: 4.07s	remaining: 28.1s
253:	learn: 0.5485037	total: 4.08s	remaining: 28.1s
254:	learn: 0.5481714	total: 4.1s	remaining: 28s
255:	learn: 0.5478213	total: 4.11s	remaining: 28s
256:	learn: 0.5475827	total: 4.13s	remaining: 28s
257:	learn: 0.5471909	total: 4.14s	remaining: 28s
258:	learn: 0.5468462	total: 4.16s	remaining: 28s
259:	learn: 0.5465764	total: 4.17s	remaining: 27.9s
260:	learn: 0.5463044	total: 4.19s	remaining: 27.9s
261:	learn: 0.5460490	total: 4.21s	remaining: 27.9s
262:	learn: 0.5458070	total: 4.22s	remaining: 27.9s
263:	learn: 0.5454678	total: 4.24s	remaining: 27.9s
264:	learn: 0.5452286	total: 4.25s	remaining: 27.8s
265:	learn: 0.5448716	total: 4.27s	remaining: 27.8s
266:	learn: 0.5442436	total: 4.28s	remaining: 27.8s
267:	learn: 0.5439524	total: 4.3s	remaining: 27.8s
268:	learn: 0.5436479	total: 4.31s	remaining: 27.7s
269:	learn: 0.5433212	total: 4.32s	remaining: 27.7s
270:	learn: 0.5430877	total: 4.34s	remaining: 27.7s
271:	learn: 0.5426475	total: 4.36s	remaining: 27.7s
272:	learn: 0.5423819	total: 4.37s	remaining: 27.6s
273:	learn: 0.5421931	total: 4.38s	remaining: 27.6s
